kingdom,phylum,class,subclass,infraclass,subterclass,order,superfamily,family,genus,species,temporary ID
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Photoidea,Ischyroceridae,Ericthonius,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Photoidea,Ischyroceridae,Ericthonius,Ericthonius brasiliensis,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Phyllodocidae,Eulalia,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Phyllodocidae,Eumida,Eumida sanguinea,NA
Animalia,Annelida,Polychaeta,Sedentaria,Canalipalpata,NA,Terebellida,NA,Terebellidae,Eupolymnia,Eupolymnia heterobranchia,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Eusiroidea,NA,NA,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Syllidae,Exogone,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Syllidae,Exogone,NA,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Syllidae,Exogone,Exogone lourei,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Photoidea,Photidae,Gammaropsis,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Gammaroidea,Gammaridae,Gammarus,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Isopoda,Sphaeromatoidea,Sphaeromatidae,Gnorimosphaeroma,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Isopoda,Sphaeromatoidea,Sphaeromatidae,Gnorimosphaeroma,Gnorimosphaeroma oregonense,NA
Animalia,Annelida,Polychaeta,Errantia,NA,NA,Phyllodocida,NA,Goniadidae,NA,NA,NA
Animalia,Arthropoda,Malacostraca,Eumalacostraca,NA,NA,Amphipoda,Aoroidea,Aoridae,Grandidierella,Grandidierella japonica,NA
Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,Neogastropoda,Volutoidea,Granulinidae,Granulina,Granulina margaritula,NA
