"Meadow","Region","Site","month","Lat","Long","cDiffMean","cDiffMeanHeat","cDiff90","cDiff90Heat","mDiffMean","hotcount","coldcount","mdiff90","hot90","cold90"
"AK_E","AK","E",2019-10-01,55.5999984741211,-133.160003662109,6.79510606060599,7.9502525252524,-13.4072000000002,0.214081818181802,0.219196969696967,24,7,-0.432490322580652,3,28
"AK_E","AK","E",2019-11-01,55.5999984741211,-133.160003662109,24.462196969697,24.462196969697,0.471054545454552,5.43298181818181,0.815406565656565,30,0,0.0157018181818184,16,14
"AK_E","AK","E",2019-12-01,55.5999984741211,-133.160003662109,14.351106060606,14.351106060606,-5.0705636363636,0.366436363636371,0.531522446689113,27,0,-0.187798653198652,4,23
"AK_F","AK","F",2019-01-01,55.2799987792969,-133.330001831055,17.6725252525253,17.6725252525253,-3.47768181818182,0.836999999999999,0.67971250971251,26,0,-0.133756993006993,6,20
"AK_F","AK","F",2019-02-01,55.2799987792969,-133.330001831055,12.3478888888889,12.3478888888889,-14.5387818181819,0,0.440996031746032,28,0,-0.519242207792209,0,28
"AK_F","AK","F",2019-03-01,55.2799987792969,-133.330001831055,18.2525707070707,18.5036868686868,-14.8401818181818,0.216372727272731,0.588792603453893,28,3,-0.478715542521995,5,26
"AK_F","AK","F",2019-04-01,55.2799987792969,-133.330001831055,9.51784848484845,11.9153080808081,-20.8987545454546,0.262227272727271,0.317261616161615,21,9,-0.696625151515152,3,27
"AK_F","AK","F",2019-05-01,55.2799987792969,-133.330001831055,11.897254917597,12.3439821903243,-23.9433454545456,0.1121181818182,0.383782416696678,30,1,-0.772365982404696,1,30
"AK_F","AK","F",2019-06-01,55.2799987792969,-133.330001831055,20.0285483785222,20.2384813928763,-19.1078363636362,0.365090909090901,0.667618279284074,28,2,-0.636927878787873,5,25
"AK_F","AK","F",2019-07-01,55.2799987792969,-133.330001831055,16.2486746411484,18.6177129186604,-21.652,0.935363636363602,0.524150794875755,29,2,-0.698451612903226,4,27
"AK_F","AK","F",2019-08-01,55.2799987792969,-133.330001831055,9.2147344497607,15.1785717703348,-26.4732727272727,0.975418181818201,0.297249498379377,19,12,-0.853976539589442,3,28
"AK_F","AK","F",2019-09-01,55.2799987792969,-133.330001831055,22.6931826156298,22.6931826156298,-2.103909090909,3.0173454545455,0.756439420520993,30,0,-0.0701303030303,11,19
"AK_F","AK","F",2019-10-01,55.2799987792969,-133.330001831055,4.26255050505053,5.8721111111112,-15.6937818181822,0,0.137501629195178,20,11,-0.506251026392974,0,31
"AK_F","AK","F",2019-11-01,55.2799987792969,-133.330001831055,23.0790909090909,23.0790909090909,-1.76957272727261,1.75119090909091,0.76930303030303,30,0,-0.0589857575757538,15,15
"AK_F","AK","F",2019-12-01,55.2799987792969,-133.330001831055,12.5463257575757,12.5463257575757,-7.2678090909091,0.0188181818181805,0.464678731762064,27,0,-0.269178114478115,1,26
"BC_A","BC","A",2019-01-01,51.6500015258789,-128.119995117188,14.2297474747475,14.5568888888889,-6.44216363636364,0.795981818181819,0.54729797979798,23,3,-0.247775524475525,7,19
"BC_A","BC","A",2019-02-01,51.6500015258789,-128.119995117188,-3.04286363636363,0.724383838383848,-33.8743545454546,0,-0.108673701298701,8,20,-1.20979837662338,0,28
"BC_A","BC","A",2019-03-01,51.6500015258789,-128.119995117188,11.2811515151515,14.4268383838384,-19.4831818181818,1.04656363636362,0.363908113391984,16,15,-0.628489736070381,8,23
"BC_A","BC","A",2019-04-01,51.6500015258789,-128.119995117188,18.8534292929293,18.8534292929293,-14.2022909090909,0.777099999999999,0.628447643097642,30,0,-0.473409696969698,2,28
"BC_A","BC","A",2019-05-01,51.6500015258789,-128.119995117188,11.6247610313662,13.4464691653375,-23.155081818182,0.0178636363636002,0.374992291334395,23,8,-0.746938123167161,1,30
"BC_A","BC","A",2019-06-01,51.6500015258789,-128.119995117188,13.4985353535353,13.7280271132376,-17.8372090909091,0.324272727272701,0.449951178451177,26,4,-0.594573636363637,4,26
"BC_A","BC","A",2019-07-01,51.6500015258789,-128.119995117188,31.2263157894738,31.2263157894738,-3.4095272727273,5.5292363636363,1.00730050933786,31,0,-0.109984750733139,12,19
"BC_A","BC","A",2019-08-01,51.6500015258789,-128.119995117188,15.3805720361511,16.9758112706008,-20.2568636363636,0.507545454545504,0.496147485037132,24,7,-0.653447214076245,4,27
"BC_A","BC","A",2019-09-01,51.6500015258789,-128.119995117188,2.6743032961191,6.6433407761829,-27.5483272727274,0.3859909090909,0.0891434432039701,19,11,-0.91827757575758,1,29
"BC_A","BC","A",2019-10-01,51.6500015258789,-128.119995117188,-4.91469696969715,1.3525404040404,-36.2006181818183,0,-0.158538611925715,7,24,-1.16776187683285,0,31
"BC_A","BC","A",2019-11-01,51.6500015258789,-128.119995117188,7.83413636363634,9.16725757575755,-21.9524454545452,0,0.261137878787878,20,10,-0.731748181818172,0,30
"BC_A","BC","A",2019-12-01,51.6500015258789,-128.119995117188,2.26549494949494,7.68902020202019,-23.8474,0.151818181818191,0.0839072203516643,14,13,-0.883237037037036,3,24
"BC_B","BC","B",2019-01-01,51.7700004577637,-128.059997558594,11.6992727272727,12.3004494949495,-8.97276363636364,0.77615454545454,0.449972027972028,23,3,-0.345106293706294,4,22
"BC_B","BC","B",2019-02-01,51.7700004577637,-128.059997558594,-5.1798080808081,0.419297979797992,-36.7681545454545,0,-0.184993145743146,7,21,-1.31314837662338,0,28
"BC_B","BC","B",2019-03-01,51.7700004577637,-128.059997558594,6.04411616161612,12.8804545454545,-25.5394636363637,0.54450909090909,0.194971489084391,16,15,-0.82385366568915,4,27
"BC_B","BC","B",2019-04-01,51.7700004577637,-128.059997558594,21.4124090909091,21.5906767676768,-12.840809090909,1.93344545454545,0.71374696969697,29,1,-0.428026969696967,7,23
"BC_B","BC","B",2019-05-01,51.7700004577637,-128.059997558594,13.2742102604997,15.6132283359914,-21.551763636364,0.0710545454545013,0.42820033098386,24,7,-0.695218181818194,1,30
"BC_B","BC","B",2019-06-01,51.7700004577637,-128.059997558594,13.8581568314726,14.3710893141946,-18.1225181818184,0.287727272727198,0.461938561049087,25,5,-0.604083939393947,4,26
"BC_B","BC","B",2019-07-01,51.7700004577637,-128.059997558594,33.0205263157894,33.0205263157894,-1.417,6.7558909090909,1.06517826825127,31,0,-0.0457096774193548,13,18
"BC_B","BC","B",2019-08-01,51.7700004577637,-128.059997558594,14.2709258373205,16.3410393407762,-19.974709090909,0.966872727272701,0.460352446365178,22,9,-0.644345454545451,4,27
"BC_B","BC","B",2019-09-01,51.7700004577637,-128.059997558594,1.4424824561402,7.1595943646996,-29.5978454545455,0.2587636363636,0.0480827485380067,17,13,-0.98659484848485,1,29
"BC_B","BC","B",2019-10-01,51.7700004577637,-128.059997558594,-6.95179292929306,0.12407575757576,-37.1417545454542,0,-0.224251384815905,2,29,-1.19812111436949,0,31
"BC_B","BC","B",2019-11-01,51.7700004577637,-128.059997558594,8.58203535353534,10.0786363636364,-20.7014090909091,0,0.286067845117845,24,6,-0.690046969696969,0,30
